id;Name;fencer_id;tournament_id;status;first_rank;final_rank;percentile;victories;victories_perc;ts;tr;score_index
301;ČAPEK Martin;33;13;Advanced;10;1;0,01;5;0,83;25;13;12
302;ČUPR Michal;34;13;Advanced;1;5;0,06;6;1,00;30;9;21
303;D'AMICO Kristian;35;13;Advanced;7;17;0,21;5;0,83;29;15;14
304;DOLEJŠÍ Marek;37;13;Advanced;19;3;0,04;4;0,80;21;18;3
305;DOŠEK Jiří;38;13;Eliminated;70;70;0,88;1;0,17;18;29;-11
306;DURYCH Martin;42;13;Advanced;43;46;0,58;3;0,50;22;24;-2
307;FIEDOR Michal;45;13;Advanced;20;34;0,43;4;0,67;28;18;10
308;FÖLDES Tomáš;48;13;Advanced;58;58;0,73;2;0,33;21;25;-4
309;FRANK Kilián;47;13;Advanced;35;29;0,36;3;0,50;23;19;4
310;GAISLER Jakub;49;13;Advanced;55;55;0,69;2;0,33;22;25;-3
311;GENZER Jiří;50;13;Advanced;59;59;0,74;2;0,33;20;24;-4
312;GRUMMICH Petr;53;13;Eliminated;78;78;0,98;0;0,00;9;30;-21
313;HABARTA Ondřej;54;13;Advanced;4;3;0,04;5;1,00;25;11;14
314;HERDA Jan;58;13;Eliminated;74;74;0,93;0;0,00;15;25;-10
315;CHOUN Karím;27;13;Advanced;39;42;0,53;3;0,50;23;23;0
316;IVANČO Alexandr;69;13;Advanced;36;30;0,38;3;0,50;24;21;3
317;IVANČO Mikuláš;70;13;Advanced;63;63;0,79;1;0,20;17;22;-5
318;IVANČO Robin;71;13;Advanced;41;44;0,55;3;0,50;23;25;-2
319;JAMBOR Stanislav;72;13;Advanced;30;37;0,46;3;0,60;20;16;4
320;JINDRA Jan;78;13;Eliminated;67;67;0,84;1;0,20;12;23;-11
321;JIRAN Jan;79;13;Eliminated;70;70;0,88;1;0,17;18;29;-11
322;KAIL Daniel;85;13;Eliminated;72;72;0,90;1;0,17;17;28;-11
323;KALUS Jonáš;87;13;Advanced;23;22;0,28;4;0,67;27;20;7
324;KAŠPAR Daniel;93;13;Advanced;5;7;0,09;5;1,00;25;12;13
325;KEDER Michal;94;13;Advanced;60;60;0,75;2;0,33;17;23;-6
326;KLAUS Robert;95;13;Advanced;16;21;0,26;4;0,80;23;14;9
327;KRAJSA Tomáš;108;13;Advanced;50;32;0,40;2;0,40;18;21;-3
328;KROUŽECKÝ Tomáš;110;13;Advanced;37;40;0,50;3;0,50;24;23;1
329;KŘÍŽ Petr;121;13;Advanced;49;50;0,63;2;0,40;18;20;-2
330;KUCHAŘ Matěj;115;13;Advanced;51;51;0,64;2;0,40;17;21;-4
331;KULT Pavel;117;13;Advanced;25;15;0,19;4;0,67;23;19;4
332;LÁNÍK Jan;130;13;Advanced;57;57;0,71;2;0,33;22;26;-4
333;LUCOVIČ Matěj;127;13;Advanced;54;54;0,68;2;0,33;25;22;3
334;LUŠTICKÝ Josef;129;13;Eliminated;76;76;0,95;0;0,00;10;30;-20
335;MAŠATA Vojtěch;138;13;Advanced;62;62;0,78;2;0,33;19;28;-9
336;MATOUŠEK David;134;13;Advanced;13;19;0,24;5;0,83;26;19;7
337;MIČINEC Adam;145;13;Eliminated;69;69;0,86;1;0,17;18;26;-8
338;MOTALÍK Libor;146;13;Advanced;18;13;0,16;4;0,80;22;18;4
339;MRÁZ Pavel;147;13;Eliminated;79;79;0,99;0;0,00;8;30;-22
340;MÜNZBERGER Vladimír;149;13;Advanced;41;44;0,55;3;0,50;23;25;-2
341;NOVÁK Martin;154;13;Eliminated;65;65;0,81;1;0,20;14;23;-9
342;OMELKA Jakub;158;13;Advanced;64;64;0,80;1;0,20;18;24;-6
343;PITRA Pavel;164;13;Advanced;3;9;0,11;6;1,00;30;10;20
344;POHNAN Kryštof;166;13;Advanced;29;36;0,45;4;0,67;21;21;0
345;PROCHÁZKA Ondřej;170;13;Advanced;12;11;0,14;5;0,83;29;21;8
346;PRYL Dobromil;171;13;Eliminated;73;73;0,91;1;0,17;16;29;-13
347;PUSTĚJOVSKÝ Vladimír;173;13;Advanced;31;27;0,34;3;0,60;18;15;3
348;RUBEŠ Martin;177;13;Advanced;1;5;0,06;6;1,00;30;9;21
349;SALZER Jiří;182;13;Advanced;24;23;0,29;4;0,67;27;21;6
350;SALZER Matěj;183;13;Advanced;22;14;0,18;4;0,67;25;17;8
351;SEJKORA Adam;188;13;Advanced;48;49;0,61;2;0,40;17;17;0
352;SMRČEK Šimon;190;13;Advanced;44;31;0,39;3;0,50;21;23;-2
353;SOKOL Vratislav;195;13;Advanced;28;26;0,33;4;0,67;25;23;2
354;STEHLÍK Jan;198;13;Advanced;17;12;0,15;4;0,80;21;16;5
355;STIRBER Sebastián;202;13;Advanced;38;41;0,51;3;0,50;23;22;1
356;SURMA Štěpán;207;13;Advanced;47;48;0,60;3;0,50;21;26;-5
357;SVOBODA Tomáš (ml.);212;13;Eliminated;75;75;0,94;0;0,00;14;25;-11
358;ŠPATENKA Martin;220;13;Advanced;27;25;0,31;4;0,67;24;21;3
359;ŠVANDA Pavel;224;13;Advanced;25;24;0,30;4;0,67;23;19;4
360;TÁBORSKÝ Lukáš;230;13;Advanced;15;33;0,41;4;0,80;23;13;10
361;TOMAN Jan;226;13;Advanced;34;39;0,49;3;0,50;25;20;5
362;TOMAN Štěpán;227;13;Eliminated;76;76;0,95;0;0,00;10;30;-20
363;TŮMA Marek;232;13;Advanced;53;53;0,66;2;0,40;14;19;-5
364;VACHOVEC Matěj;234;13;Advanced;11;18;0,23;5;0,83;28;17;11
365;VALENTA Jiří;235;13;Eliminated;80;80;1,00;0;0,00;7;30;-23
366;VALKOVIČ Martin;236;13;Eliminated;68;68;0,85;1;0,17;19;27;-8
367;VAŠÍČEK Martin;238;13;Advanced;61;61;0,76;2;0,33;20;27;-7
368;VÁVRA Vojtěch;246;13;Advanced;32;38;0,48;3;0,60;19;21;-2
369;VOLÁK Samuel;242;13;Advanced;14;20;0,25;4;0,80;24;8;16
370;WALLER Adam;250;13;Advanced;52;52;0,65;2;0,40;16;20;-4
371;WALLER Jonáš;251;13;Advanced;21;35;0,44;4;0,67;26;18;8
372;DUDUC Alex Vladimír;39;13;Advanced;8;10;0,13;5;0,83;26;12;14
373;STEIS Matúš;200;13;Advanced;40;43;0,54;3;0,50;25;26;-1
374;STOLAR Samuel;203;13;Advanced;33;28;0,35;3;0,50;24;18;6
375;BALCAR Josef;8;14;Advanced;3;5;0,08;7;1,00;35;9;26
376;BEDNÁR Kryštof;10;14;Advanced;29;35;0,57;4;0,57;25;25;0
377;BERKA Adam;14;14;Advanced;40;32;0,52;2;0,33;21;24;-3
378;BUREŠ Lukáš;22;14;Advanced;47;47;0,77;2;0,29;19;28;-9
379;ČAPEK Martin;33;14;Advanced;2;9;0,15;7;1,00;35;8;27
380;ČUPR Michal;34;14;Advanced;1;3;0,05;7;1,00;35;5;30
381;DOLEJŠÍ Marek;37;14;Advanced;5;6;0,10;6;1,00;29;14;15
382;DUDUC Alex Vladimír;39;14;Advanced;18;8;0,13;4;0,67;26;20;6
383;FIEDOR Michal;45;14;Advanced;21;22;0,36;4;0,67;23;21;2
384;FÖLDES Tomáš;48;14;Advanced;25;33;0,54;4;0,57;29;25;4
385;FRANK Kilián;47;14;Advanced;28;26;0,43;4;0,57;26;24;2
386;GAISLER Jakub;49;14;Advanced;39;40;0,66;3;0,43;23;28;-5
387;GERŽA Jakub;51;14;Eliminated;53;53;0,87;1;0,17;16;27;-11
388;HERDA Jan;58;14;Advanced;46;46;0,75;2;0,29;21;30;-9
389;HOYER Martin;65;14;Advanced;21;22;0,36;4;0,67;23;21;2
390;CHOUN Karím;27;14;Advanced;13;13;0,21;5;0,71;29;20;9
391;JAMBOR Stanislav;72;14;Eliminated;52;52;0,85;1;0,17;18;29;-11
392;JEŘÁBEK Petr;76;14;Eliminated;55;55;0,90;1;0,14;18;32;-14
393;JÍLEK Jaroslav;83;14;Eliminated;49;49;0,80;2;0,29;17;30;-13
394;JINDRA Jakub;77;14;Advanced;36;30;0,49;3;0,43;26;29;-3
395;JURKA Tomáš;81;14;Advanced;34;38;0,62;3;0,43;23;22;1
396;KARÁSEK Libor;91;14;Advanced;32;37;0,61;3;0,50;25;25;0
397;KLAUS Robert;95;14;Advanced;6;10;0,16;6;0,86;30;19;11
398;KOTALA Jan;102;14;Eliminated;50;50;0,82;1;0,17;20;25;-5
399;KOUŘIL Jan;103;14;Advanced;30;27;0,44;4;0,57;25;27;-2
400;KRAJSA Tomáš;108;14;Advanced;20;21;0,34;4;0,67;25;21;4
401;KRÁL Jiří;111;14;Eliminated;58;58;0,95;0;0,00;19;35;-16
402;KŘÍŽ Petr;121;14;Advanced;27;34;0,56;4;0,57;28;24;4
403;KULT Pavel;117;14;Advanced;24;25;0,41;4;0,57;29;21;8
404;KURÁŇ Martin;119;14;Advanced;41;41;0,67;2;0,33;19;24;-5
405;LUŠTICKÝ Josef;129;14;Eliminated;59;59;0,97;0;0,00;15;35;-20
406;MATOUŠEK David;134;14;Advanced;7;11;0,18;5;0,83;28;13;15
407;MIČINEC Adam;145;14;Advanced;42;42;0,69;2;0,33;15;26;-11
408;NOVÁK Martin;154;14;Advanced;15;18;0,30;5;0,71;29;24;5
409;PAVLÍK Matyáš;162;14;Advanced;4;1;0,02;7;1,00;35;15;20
410;PITRA Pavel;164;14;Advanced;10;2;0,03;5;0,83;28;15;13
411;POHNAN Kryštof;166;14;Advanced;12;12;0,20;5;0,71;29;19;10
412;PROCHÁZKA Ondřej;170;14;Advanced;25;16;0,26;4;0,57;29;25;4
413;PRYL Dobromil;171;14;Advanced;33;28;0,46;3;0,50;21;24;-3
414;PUSTĚJOVSKÝ Vladimír;173;14;Advanced;37;39;0,64;3;0,43;22;25;-3
415;RUBEŠ Martin;177;14;Advanced;11;3;0,05;5;0,71;30;17;13
416;SADSKÝ Jaroslav;180;14;Eliminated;57;57;0,93;1;0,14;15;34;-19
417;SALZER Matěj;183;14;Advanced;7;17;0,28;5;0,83;28;13;15
418;SOKOL Vratislav;195;14;Eliminated;54;54;0,89;1;0,17;13;26;-13
419;STEHLÍK Jan;198;14;Advanced;9;7;0,11;5;0,83;26;12;14
420;STIRBER Sebastián;202;14;Advanced;14;14;0,23;5;0,71;31;24;7
421;STUDENÝ Václav;205;14;Eliminated;61;61;1,00;0;0,00;12;35;-23
422;SURMA Štěpán;207;14;Eliminated;56;56;0,92;1;0,14;15;32;-17
423;SVOBODA Tomáš (ml.);212;14;Advanced;43;43;0,70;2;0,29;24;31;-7
424;ŠPATENKA Martin;220;14;Advanced;35;29;0,48;3;0,43;24;26;-2
425;ŠVANDA Pavel;224;14;Advanced;38;31;0,51;3;0,43;25;29;-4
426;TÁBORSKÝ Lukáš;230;14;Advanced;23;24;0,39;4;0,57;29;20;9
427;TŮMA Marek;232;14;Advanced;48;48;0,79;2;0,29;19;31;-12
428;VALKOVIČ Martin;236;14;Eliminated;60;60;0,98;0;0,00;8;30;-22
429;VAŠÍČEK Martin;238;14;Advanced;19;20;0,33;4;0,67;27;23;4
430;VÁVRA Vojtěch;246;14;Advanced;30;36;0,59;4;0,57;25;27;-2
431;VOLÁK Samuel;242;14;Advanced;17;19;0,31;5;0,71;28;26;2
432;WALLER Adam;250;14;Eliminated;51;51;0,84;1;0,17;20;26;-6
433;WALLER Jonáš;251;14;Advanced;16;15;0,25;5;0,71;29;26;3
434;TKACHENKO Danil;225;14;Advanced;45;45;0,74;2;0,29;21;29;-8
435;STEIS Matúš;200;14;Advanced;44;44;0,72;2;0,29;21;28;-7
436;ADDO DJAN Theodor Ezekiel;2;17;Advanced;38;43;0,59;3;0,50;25;23;2
437;ANDERLE Petr;6;17;Advanced;22;13;0,18;4;0,67;22;20;2
438;BALCAR Josef;8;17;Advanced;5;6;0,08;6;1,00;29;13;16
439;BEDNÁR Kryštof;10;17;Advanced;31;39;0,53;4;0,57;23;26;-3
440;BERAN Jiří;13;17;Advanced;2;1;0,01;7;1,00;35;14;21
441;BÉREŠ Daniel;23;17;Eliminated;72;72;0,99;0;0,00;18;35;-17
442;BINICHAKIS Emannouil;16;17;Advanced;57;57;0,78;2;0,29;18;31;-13
443;BÓR Karel;24;17;Eliminated;70;70;0,96;1;0,14;15;32;-17
444;COUFAL František;31;17;Advanced;10;8;0,11;5;0,83;29;17;12
445;ČAPEK Martin;33;17;Advanced;25;14;0,19;4;0,57;28;23;5
446;ČUPR Michal;34;17;Advanced;3;3;0,04;6;1,00;30;11;19
447;D'AMICO Kristian;35;17;Advanced;8;2;0,03;5;0,83;28;14;14
448;DOLEJŠÍ Marek;37;17;Advanced;14;9;0,12;5;0,83;28;20;8
449;ERNÉE Jan;44;17;Advanced;32;26;0,36;3;0,50;24;19;5
450;FIEDOR Michal;45;17;Advanced;28;38;0,52;4;0,57;30;28;2
451;FÖLDES Tomáš;48;17;Advanced;40;44;0,60;3;0,50;16;25;-9
452;FRANK Kilián;47;17;Advanced;30;25;0,34;4;0,57;24;26;-2
453;GENZER Jiří;50;17;Advanced;12;34;0,47;5;0,83;29;20;9
454;GRUMMICH Petr;53;17;Eliminated;68;68;0,93;1;0,17;9;29;-20
455;HABARTA Ondřej;54;17;Advanced;37;28;0,38;3;0,50;26;24;2
456;HERDA Jan;58;17;Eliminated;64;64;0,88;1;0,17;18;29;-11
457;HLAVÁČ Jakub;61;17;Advanced;47;49;0,67;2;0,33;20;23;-3
458;HORBACHUK Yuriy;62;17;Advanced;16;20;0,27;5;0,83;25;19;6
459;HOYER Martin;65;17;Advanced;53;31;0,42;2;0,33;20;28;-8
460;CHOUN Karím;27;17;Advanced;36;42;0,58;3;0,50;22;19;3
461;IVANČO Alexandr;69;17;Advanced;20;22;0,30;5;0,71;30;22;8
462;IVANČO Mikuláš;70;17;Advanced;54;32;0,44;2;0,33;19;28;-9
463;IVANČO Robin;71;17;Advanced;43;46;0,63;3;0,43;27;28;-1
464;JAMBOR Stanislav;72;17;Advanced;48;50;0,68;2;0,33;22;27;-5
465;JÍLEK Jaroslav;83;17;Advanced;60;60;0,82;1;0,17;20;27;-7
466;JIRAN Jan;79;17;Eliminated;73;73;1,00;0;0,00;17;35;-18
467;KAIL Daniel;85;17;Advanced;52;54;0,74;2;0,33;19;26;-7
468;KARÁSEK Libor;91;17;Advanced;45;48;0,66;3;0,43;24;31;-7
469;KAREL Petr;90;17;Advanced;58;58;0,79;1;0,17;21;28;-7
470;KAŠPAR Daniel;93;17;Advanced;8;19;0,26;5;0,83;28;14;14
471;KEDER Michal;94;17;Advanced;11;33;0,45;5;0,83;26;15;11
472;KLAUS Robert;95;17;Advanced;13;3;0,04;5;0,83;28;19;9
473;KLSÁK Adam;96;17;Advanced;27;24;0,33;4;0,57;31;29;2
474;KNAP Ladislav;97;17;Eliminated;64;64;0,88;1;0,17;18;29;-11
475;KNOP Tadeáš;98;17;Eliminated;66;66;0,90;1;0,17;16;27;-11
476;KOTALA Jan;102;17;Advanced;29;15;0,21;4;0,57;26;25;1
477;KRAJSA Tomáš;108;17;Eliminated;71;71;0,97;0;0,00;19;30;-11
478;KROUŽECKÝ Tomáš;110;17;Advanced;23;23;0,32;4;0,67;23;24;-1
479;KULT Pavel;117;17;Advanced;6;7;0,10;6;0,86;30;17;13
480;KURÁŇ Martin;119;17;Advanced;55;55;0,75;2;0,33;17;28;-11
481;LÁNÍK Jan;130;17;Advanced;46;30;0,41;2;0,33;22;24;-2
482;LOKAJ Václav;125;17;Advanced;7;18;0,25;5;0,83;29;14;15
483;LUCOVIČ Matěj;127;17;Eliminated;61;61;0,84;1;0,17;20;28;-8
484;MAŠATA Vojtěch;138;17;Advanced;39;16;0,22;3;0,50;22;22;0
485;MATOUŠEK David;134;17;Advanced;33;40;0,55;3;0,50;25;21;4
486;MIČINEC Adam;145;17;Advanced;35;41;0,56;3;0,50;25;22;3
487;MOTALÍK Libor;146;17;Advanced;34;27;0,37;3;0,50;23;19;4
488;NOVOTNÝ Šimon;153;17;Advanced;44;47;0,64;3;0,43;25;30;-5
489;PITRA Pavel;164;17;Advanced;17;11;0,15;5;0,83;25;21;4
490;PROCHÁZKA Ondřej;170;17;Advanced;49;51;0,70;2;0,33;21;26;-5
491;PUSTĚJOVSKÝ Vladimír;173;17;Advanced;41;29;0,40;3;0,43;25;23;2
492;RUBEŠ Martin;177;17;Advanced;1;5;0,07;7;1,00;35;12;23
493;SALZER Matěj;183;17;Advanced;4;17;0,23;6;1,00;30;13;17
494;SKROVNÝ Petr;189;17;Eliminated;63;63;0,86;1;0,17;20;29;-9
495;SMRČEK Šimon;190;17;Eliminated;62;62;0,85;1;0,17;19;27;-8
496;STEHLÍK Jan;198;17;Advanced;15;10;0,14;5;0,83;29;22;7
497;STIRBER Sebastián;202;17;Advanced;18;21;0,29;5;0,71;30;17;13
498;STRAKA Tomáš;204;17;Advanced;21;12;0,16;4;0,67;28;19;9
499;SVOBODA Tomáš Kristián (st.);213;17;Advanced;26;37;0,51;4;0,57;30;27;3
500;ŠPATENKA Martin;220;17;Advanced;19;35;0,48;5;0,71;30;21;9
501;ŠVANDA Pavel;224;17;Advanced;42;45;0,62;3;0,43;25;24;1
